feature,importance
eda_mean,0.17846484144621258
eda_range,0.13980685224836084
temp_mean_c,0.1367855290337948
temp_slope_c_per_s,0.11934596621795479
eda_std,0.10931947346653349
ibi_mean_seconds,0.0924912065176195
heart_rate_mean,0.06580165291111005
acc_magnitude_mean,0.04478585621900902
eda_slope_per_s,0.036682219847887935
acc_magnitude_variability_mean,0.02841238840849422
rmssd_ms,0.009624040200428214
acc_magnitude_window_std,0.008744814590429351
sdnn_ms,0.008652411227637075
temp_std_c,0.008071614431373655
heart_rate_range,0.0071022481326634785
heart_rate_std,0.005908885100490939
